blue,red,side_won
Liiv SANDBOX,DRX,B
DRX,Liiv SANDBOX,B
Liiv SANDBOX,DRX,B
T1,Hanwha Life Esports,B
Hanwha Life Esports,T1,R
Fredit BRION,Nongshim RedForce,R
Nongshim RedForce,Fredit BRION,B
DWG KIA,KT Rolster,B
KT Rolster,DWG KIA,R
DWG KIA,KT Rolster,R
Liiv SANDBOX,Afreeca Freecs,R
Afreeca Freecs,Liiv SANDBOX,B
Gen.G,DRX,B
DRX,Gen.G,R
KT Rolster,Nongshim RedForce,B
Nongshim RedForce,KT Rolster,R
KT Rolster,Nongshim RedForce,R
Hanwha Life Esports,Fredit BRION,B
Fredit BRION,Hanwha Life Esports,R
T1,Afreeca Freecs,B
Afreeca Freecs,T1,B
T1,Afreeca Freecs,B
DWG KIA,DRX,B
DRX,DWG KIA,R
KT Rolster,Gen.G,R
Gen.G,KT Rolster,B
KT Rolster,Gen.G,B
Fredit BRION,Liiv SANDBOX,R
Liiv SANDBOX,Fredit BRION,B
DRX,T1,R
T1,DRX,B
Nongshim RedForce,Afreeca Freecs,B
Afreeca Freecs,Nongshim RedForce,R
KT Rolster,Hanwha Life Esports,R
Hanwha Life Esports,KT Rolster,B
Gen.G,DWG KIA,B
DWG KIA,Gen.G,B
Gen.G,DWG KIA,B
Nongshim RedForce,DWG KIA,R
DWG KIA,Nongshim RedForce,B
Liiv SANDBOX,Hanwha Life Esports,R
Hanwha Life Esports,Liiv SANDBOX,R
Liiv SANDBOX,Hanwha Life Esports,R
Afreeca Freecs,Fredit BRION,R
Fredit BRION,Afreeca Freecs,B
T1,Gen.G,B
Gen.G,T1,R
Nongshim RedForce,DRX,B
DRX,Nongshim RedForce,B
Nongshim RedForce,DRX,B
Liiv SANDBOX,KT Rolster,B
KT Rolster,Liiv SANDBOX,R
Hanwha Life Esports,Afreeca Freecs,B
Afreeca Freecs,Hanwha Life Esports,R
DWG KIA,Fredit BRION,B
Fredit BRION,DWG KIA,R
Gen.G,Hanwha Life Esports,B
Hanwha Life Esports,Gen.G,R
Fredit BRION,DRX,R
DRX,Fredit BRION,B
KT Rolster,T1,R
T1,KT Rolster,B
Afreeca Freecs,DWG KIA,R
DWG KIA,Afreeca Freecs,B
Liiv SANDBOX,Gen.G,B
Gen.G,Liiv SANDBOX,R
Nongshim RedForce,Hanwha Life Esports,R
Hanwha Life Esports,Nongshim RedForce,B
T1,Fredit BRION,R
Fredit BRION,T1,B
KT Rolster,DRX,R
DRX,KT Rolster,R
KT Rolster,DRX,R
Nongshim RedForce,Liiv SANDBOX,B
Liiv SANDBOX,Nongshim RedForce,R
Gen.G,Afreeca Freecs,B
Afreeca Freecs,Gen.G,R
Gen.G,Afreeca Freecs,R
T1,DWG KIA,R
DWG KIA,T1,R
T1,DWG KIA,R
Hanwha Life Esports,DRX,B
DRX,Hanwha Life Esports,R
KT Rolster,Afreeca Freecs,R
Afreeca Freecs,KT Rolster,B
Gen.G,Fredit BRION,B
Fredit BRION,Gen.G,B
Gen.G,Fredit BRION,B
Liiv SANDBOX,DWG KIA,R
DWG KIA,Liiv SANDBOX,B
T1,Nongshim RedForce,B
Nongshim RedForce,T1,R
T1,Liiv SANDBOX,B
Liiv SANDBOX,T1,B
Afreeca Freecs,DRX,R
DRX,Afreeca Freecs,B
Afreeca Freecs,DRX,B
Hanwha Life Esports,DWG KIA,R
DWG KIA,Hanwha Life Esports,B
Hanwha Life Esports,DWG KIA,B
Gen.G,Nongshim RedForce,B
Nongshim RedForce,Gen.G,R
Fredit BRION,KT Rolster,R
KT Rolster,Fredit BRION,B
DRX,T1,B
T1,DRX,B
DRX,T1,B
Gen.G,Afreeca Freecs,B
Afreeca Freecs,Gen.G,R
Nongshim RedForce,Hanwha Life Esports,R
Hanwha Life Esports,Nongshim RedForce,B
Nongshim RedForce,Hanwha Life Esports,B
Liiv SANDBOX,Fredit BRION,R
Fredit BRION,Liiv SANDBOX,B
KT Rolster,DWG KIA,R
DWG KIA,KT Rolster,B
KT Rolster,DWG KIA,B
DRX,DWG KIA,R
DWG KIA,DRX,B
Liiv SANDBOX,Hanwha Life Esports,B
Hanwha Life Esports,Liiv SANDBOX,R
KT Rolster,Afreeca Freecs,B
Afreeca Freecs,KT Rolster,B
KT Rolster,Afreeca Freecs,B
Fredit BRION,T1,R
T1,Fredit BRION,B
Nongshim RedForce,Gen.G,R
Gen.G,Nongshim RedForce,B
DWG KIA,Liiv SANDBOX,B
Liiv SANDBOX,DWG KIA,R
Fredit BRION,KT Rolster,B
KT Rolster,Fredit BRION,B
Fredit BRION,KT Rolster,B
Hanwha Life Esports,Afreeca Freecs,B
Afreeca Freecs,Hanwha Life Esports,B
Hanwha Life Esports,Afreeca Freecs,B
Gen.G,DRX,R
DRX,Gen.G,R
Gen.G,DRX,R
T1,Nongshim RedForce,B
Nongshim RedForce,T1,B
T1,Nongshim RedForce,B
KT Rolster,Nongshim RedForce,R
Nongshim RedForce,KT Rolster,B
T1,Afreeca Freecs,R
Afreeca Freecs,T1,B
Gen.G,Liiv SANDBOX,B
Liiv SANDBOX,Gen.G,R
Fredit BRION,DRX,R
DRX,Fredit BRION,R
Fredit BRION,DRX,R
Hanwha Life Esports,DWG KIA,R
DWG KIA,Hanwha Life Esports,B
Afreeca Freecs,Nongshim RedForce,B
Nongshim RedForce,Afreeca Freecs,R
Liiv SANDBOX,T1,R
T1,Liiv SANDBOX,B
KT Rolster,DRX,B
DRX,KT Rolster,R
DWG KIA,Gen.G,B
Gen.G,DWG KIA,R
DWG KIA,Gen.G,R
Fredit BRION,Hanwha Life Esports,R
